source_name	source_type	source_id	target_name	target_type	target_id	relation_type	resource
ajmaline	Compound	DrugBank:DB01426	Ventricular arrhythmia	Disease	UMLS:C0085612	RepoDB::therapeutic::Compound:Disease	RepoDB
ajmaline	Compound	DrugBank:DB01426	Supraventricular arrhythmia	Disease	UMLS:C0428974	RepoDB::therapeutic::Compound:Disease	RepoDB
ajmaline	Compound	DrugBank:DB01426	Cardiac Arrhythmia	Disease	UMLS:C0003811	RepoDB::therapeutic::Compound:Disease	RepoDB
emtricitabine	Compound	DrugBank:DB00879	HIV Infections	Disease	UMLS:C0019693	RepoDB::therapeutic::Compound:Disease	RepoDB
enalapril	Compound	DrugBank:DB00584	Asymptomatic left ventricular systolic dysfunction	Disease	UMLS:C3698411	RepoDB::therapeutic::Compound:Disease	RepoDB
enalapril	Compound	DrugBank:DB00584	Hypertensive disease	Disease	UMLS:C0020538	RepoDB::therapeutic::Compound:Disease	RepoDB
enalapril	Compound	DrugBank:DB00584	Congestive heart failure	Disease	UMLS:C0018802	RepoDB::therapeutic::Compound:Disease	RepoDB
enalapril	Compound	DrugBank:DB09477	Asymptomatic left ventricular systolic dysfunction	Disease	UMLS:C3698411	RepoDB::therapeutic::Compound:Disease	RepoDB
enalapril	Compound	DrugBank:DB09477	Hypertensive disease	Disease	UMLS:C0020538	RepoDB::therapeutic::Compound:Disease	RepoDB
enalapril	Compound	DrugBank:DB09477	Congestive heart failure	Disease	UMLS:C0018802	RepoDB::therapeutic::Compound:Disease	RepoDB
enalaprilat	Compound	DrugBank:DB09477	Hypertensive disease	Disease	UMLS:C0020538	RepoDB::therapeutic::Compound:Disease	RepoDB
enalaprilat	Compound	DrugBank:DB09477	Congestive heart failure	Disease	UMLS:C0018802	RepoDB::therapeutic::Compound:Disease	RepoDB
enalaprilat	Compound	DrugBank:DB09477	Asymptomatic left ventricular systolic dysfunction	Disease	UMLS:C3698411	RepoDB::therapeutic::Compound:Disease	RepoDB
encainide	Compound	DrugBank:DB01228	Premature ventricular contractions	Disease	UMLS:C0151636	RepoDB::therapeutic::Compound:Disease	RepoDB
endralazine	Compound	DrugBank:DB13435	Hypertensive disease	Disease	UMLS:C0020538	RepoDB::therapeutic::Compound:Disease	RepoDB
alacepril	Compound	DrugBank:DB01197	Essential Hypertension	Disease	UMLS:C0085580	RepoDB::therapeutic::Compound:Disease	RepoDB
enfuvirtide	Compound	DrugBank:DB00109	HIV Infections	Disease	UMLS:C0019693	RepoDB::therapeutic::Compound:Disease	RepoDB
enoxacin	Compound	DrugBank:DB00467	Acute gonococcal cervicitis	Disease	UMLS:C0153195	RepoDB::therapeutic::Compound:Disease	RepoDB
enoxacin	Compound	DrugBank:DB00467	Gonorrhea	Disease	UMLS:C0018081	RepoDB::therapeutic::Compound:Disease	RepoDB
enoxacin	Compound	DrugBank:DB00467	Acute gonococcal urethritis	Disease	UMLS:C0275652	RepoDB::therapeutic::Compound:Disease	RepoDB
enoxacin	Compound	DrugBank:DB00467	Gonorrhea of rectum	Disease	UMLS:C0275665	RepoDB::therapeutic::Compound:Disease	RepoDB
enoxacin	Compound	DrugBank:DB00467	Gonorrhea of pharynx	Disease	UMLS:C0149966	RepoDB::therapeutic::Compound:Disease	RepoDB
enoxacin	Compound	DrugBank:DB00467	Urinary tract infection	Disease	UMLS:C0042029	RepoDB::therapeutic::Compound:Disease	RepoDB
entacapone	Compound	DrugBank:DB00494	Parkinson Disease	Disease	UMLS:C0030567	RepoDB::therapeutic::Compound:Disease	RepoDB
entecavir	Compound	DrugBank:DB00442	Hepatitis B, Chronic	Disease	UMLS:C0524909	RepoDB::therapeutic::Compound:Disease	RepoDB
alatrofloxacin	Compound	DrugBank:DB09335	Acute bacterial bronchitis	Disease	UMLS:C0339933	RepoDB::therapeutic::Compound:Disease	RepoDB
alatrofloxacin	Compound	DrugBank:DB09335	Female genital tract infection	Disease	UMLS:C1263758	RepoDB::therapeutic::Compound:Disease	RepoDB
alatrofloxacin	Compound	DrugBank:DB09335	Postoperative infection	Disease	UMLS:C0392618	RepoDB::therapeutic::Compound:Disease	RepoDB
alatrofloxacin	Compound	DrugBank:DB09335	Urinary tract infection	Disease	UMLS:C0042029	RepoDB::therapeutic::Compound:Disease	RepoDB
alatrofloxacin	Compound	DrugBank:DB09335	Abdominal Infection	Disease	UMLS:C1112209	RepoDB::therapeutic::Compound:Disease	RepoDB
alatrofloxacin	Compound	DrugBank:DB09335	Haemophilus influenzae pneumonia	Disease	UMLS:C0276026	RepoDB::therapeutic::Compound:Disease	RepoDB
alatrofloxacin	Compound	DrugBank:DB09335	Pneumonia due to Pseudomonas	Disease	UMLS:C0155860	RepoDB::therapeutic::Compound:Disease	RepoDB
alatrofloxacin	Compound	DrugBank:DB09335	Streptococcal pneumonia	Disease	UMLS:C0155862	RepoDB::therapeutic::Compound:Disease	RepoDB
alatrofloxacin	Compound	DrugBank:DB09335	Acute Moraxella catarrhalis bronchitis	Disease	UMLS:C0339932	RepoDB::therapeutic::Compound:Disease	RepoDB
alatrofloxacin	Compound	DrugBank:DB09335	Mycoplasma pneumonia	Disease	UMLS:C0032302	RepoDB::therapeutic::Compound:Disease	RepoDB
