"drug_name","drugbank_id","ind_name","ind_id","NCT","status","phase","DetailedStatus"
"ajmaline","DB01426","Ventricular arrhythmia","C0085612",NA,"Approved",NA,NA
"ajmaline","DB01426","Supraventricular arrhythmia","C0428974",NA,"Approved",NA,NA
"ajmaline","DB01426","Cardiac Arrhythmia","C0003811",NA,"Approved",NA,NA
"emtricitabine","DB00879","HIV Infections","C0019693",NA,"Approved",NA,NA
"enalapril","DB00584","Asymptomatic left ventricular systolic dysfunction","C3698411",NA,"Approved",NA,NA
"enalapril","DB00584","Hypertensive disease","C0020538",NA,"Approved",NA,NA
"enalapril","DB00584","Congestive heart failure","C0018802",NA,"Approved",NA,NA
"enalapril","DB09477","Asymptomatic left ventricular systolic dysfunction","C3698411",NA,"Approved",NA,NA
"enalapril","DB09477","Hypertensive disease","C0020538",NA,"Approved",NA,NA
"enalapril","DB09477","Congestive heart failure","C0018802",NA,"Approved",NA,NA
"enalaprilat","DB09477","Hypertensive disease","C0020538",NA,"Approved",NA,NA
"enalaprilat","DB09477","Congestive heart failure","C0018802",NA,"Approved",NA,NA
"enalaprilat","DB09477","Asymptomatic left ventricular systolic dysfunction","C3698411",NA,"Approved",NA,NA
"encainide","DB01228","Premature ventricular contractions","C0151636",NA,"Approved",NA,NA
"endralazine","DB13435","Hypertensive disease","C0020538",NA,"Approved",NA,NA
"alacepril","DB01197","Essential Hypertension","C0085580",NA,"Approved",NA,NA
"enfuvirtide","DB00109","HIV Infections","C0019693",NA,"Approved",NA,NA
"enoxacin","DB00467","Acute gonococcal cervicitis","C0153195",NA,"Approved",NA,NA
"enoxacin","DB00467","Gonorrhea","C0018081",NA,"Approved",NA,NA
"enoxacin","DB00467","Acute gonococcal urethritis","C0275652",NA,"Approved",NA,NA
"enoxacin","DB00467","Gonorrhea of rectum","C0275665",NA,"Approved",NA,NA
"enoxacin","DB00467","Gonorrhea of pharynx","C0149966",NA,"Approved",NA,NA
"enoxacin","DB00467","Urinary tract infection","C0042029",NA,"Approved",NA,NA
"entacapone","DB00494","Parkinson Disease","C0030567",NA,"Approved",NA,NA
"entecavir","DB00442","Hepatitis B, Chronic","C0524909",NA,"Approved",NA,NA
"alatrofloxacin","DB09335","Acute bacterial bronchitis","C0339933",NA,"Approved",NA,NA
"alatrofloxacin","DB09335","Female genital tract infection","C1263758",NA,"Approved",NA,NA
"alatrofloxacin","DB09335","Postoperative infection","C0392618",NA,"Approved",NA,NA
